,ref_name,ref_first,ref_last,elec_name,elec_url,house_or_senate,state,party,start_year,end_year,match
889,"Patman, William N.",William N.,Patman,,,House,Texas,Democratic,1981,1985,fail-lastname
890,"Mills, William O.",William O.,Mills,,,House,Maryland,Republican,1971,1975,fail-firstname
891,"Cotter, William R.",William R.,Cotter,,,House,Connecticut,Democratic,1971,1983,only-surname
892,"Ratchford, William R.",William R.,Ratchford,,,House,Connecticut,Democratic,1979,1985,fail-lastname
893,"Roy, William R.",William R.,Roy,,,House,Kansas,Democratic,1971,1975,fail-firstname
894,"Broomfield, William S.",William S.,Broomfield,,,House,Michigan,Republican,1957,1993,only-surname
895,"Cohen, William S.",William S.,Cohen,,,"House,Senate",Maine,Republican,1973,1997,fail-firstname
896,"Mailliard, William S.",William S.,Mailliard,,,House,California,Republican,1953,1975,fail-lastname
897,"Moorhead, William S.",William S.,Moorhead,,,House,Pennsylvania,Democratic,1959,1981,fail-firstname
898,"Cobey, William W.",William W.,Cobey,,,House,North Carolina,Republican,1985,1987,fail-lastname
899,"Gradison, Willis D., Jr.","Willis D., Jr.",Gradison,,,House,Ohio,Republican,1975,1995,only-surname
900,"Mizell, Wilmer",Wilmer,Mizell,,,House,North Carolina,Republican,1969,1975,fail-lastname
901,"Patman, Wright",Wright,Patman,,,House,Texas,Democratic,1929,1977,fail-lastname
902,"Burke, Yvonne B.",Yvonne B.,Burke,,,House,California,Democratic,1973,1979,fail-firstname
903,"Nunn, Zachary",Zachary,Nunn,,,House,Iowa,Republican,2023,9999,fail-firstname
